,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1440301,1300652,101067,Cash loans,93453.21,2835000.0,3138120.0,,2835000.0,THURSDAY,10,Y,1,,,,Repairs,Refused,-453,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,54.0,low_normal,Cash Street: low,,,,,,
1140246,2655915,101067,Cash loans,22772.34,180000.0,191880.0,,180000.0,SATURDAY,10,Y,1,,,,Everyday expenses,Refused,-360,XNA,HC,,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,12.0,high,Cash Street: high,,,,,,
406146,1980346,101067,Cash loans,49618.71,270000.0,277308.0,,270000.0,WEDNESDAY,4,Y,1,,,,XNA,Refused,-139,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,6.0,low_normal,Cash X-Sell: low,,,,,,
938490,2772027,101067,Cash loans,,0.0,0.0,,,WEDNESDAY,4,Y,1,,,,XNA,Canceled,-139,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
210588,2772283,101067,Cash loans,,0.0,0.0,,,MONDAY,7,Y,1,,,,XNA,Canceled,-92,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1106680,1879645,101067,Cash loans,24712.38,234000.0,261589.5,,234000.0,MONDAY,7,Y,1,,,,Building a house or an annex,Canceled,-92,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,low_normal,Cash Street: low,,,,,,
108449,2505693,101067,Consumer loans,32702.625,354330.0,318897.0,35433.0,354330.0,WEDNESDAY,8,Y,1,0.1089090909090909,,,XAP,Refused,-55,Cash through the bank,SCO,,Repeater,Construction Materials,POS,XNA,Stone,21,Construction,12.0,middle,POS industry with interest,,,,,,
135164,1669103,107321,Consumer loans,2943.18,26955.0,23458.5,8086.5,26955.0,SATURDAY,11,Y,1,0.2791863571521202,,,XAP,Approved,-1473,Cash through the bank,XAP,"Spouse, partner",New,Mobile,POS,XNA,Country-wide,21,Connectivity,12.0,high,POS mobile with interest,365243.0,-1442.0,-1112.0,-1232.0,-1227.0,0.0
3674,2359551,107321,Revolving loans,11250.0,0.0,225000.0,,,FRIDAY,10,N,1,,,,XAP,Refused,-1152,XNA,VERIF,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1119442,1428503,107321,Revolving loans,13500.0,0.0,270000.0,,,THURSDAY,11,Y,1,,,,XAP,Refused,-1013,XNA,XNA,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1338125,1718180,107321,Consumer loans,4544.325,21327.975,17055.0,4272.975,21327.975,FRIDAY,10,Y,1,0.2181950338591791,,,XAP,Approved,-879,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,65,Connectivity,4.0,middle,POS mobile without interest,365243.0,-837.0,-747.0,-747.0,-734.0,0.0
849974,2659047,107321,Revolving loans,16875.0,0.0,337500.0,,,THURSDAY,13,Y,1,,,,XAP,Approved,-775,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,-154.0,0.0
1210999,1718846,107321,Cash loans,33868.17,679500.0,749461.5,,679500.0,THURSDAY,14,Y,1,,,,XNA,Approved,-558,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,middle,Cash X-Sell: middle,365243.0,-528.0,522.0,-288.0,-282.0,1.0
560817,2285540,107321,Cash loans,22853.79,225000.0,337824.0,,225000.0,MONDAY,14,Y,1,,,,Medicine,Refused,-470,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high,,,,,,
258292,1138080,107321,Cash loans,13712.535,135000.0,202698.0,,135000.0,WEDNESDAY,12,Y,1,,,,Medicine,Refused,-468,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high,,,,,,
683632,1476225,107321,Cash loans,9141.255,90000.0,135126.0,,90000.0,WEDNESDAY,13,Y,1,,,,Medicine,Refused,-468,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high,,,,,,
1171342,1724879,107321,Cash loans,,0.0,0.0,,,WEDNESDAY,11,Y,1,,,,XNA,Canceled,-349,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1211000,2259051,107321,Cash loans,25729.245,270000.0,353569.5,,270000.0,WEDNESDAY,11,Y,1,,,,XNA,Approved,-349,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,high,Cash X-Sell: high,365243.0,-319.0,371.0,365243.0,365243.0,1.0
655535,2389608,107321,Consumer loans,12655.71,98955.0,107662.5,0.0,98955.0,WEDNESDAY,12,Y,1,0.0,,,XAP,Refused,-293,Cash through the bank,HC,Family,Repeater,Consumer Electronics,POS,XNA,Stone,146,Consumer electronics,10.0,middle,POS household with interest,,,,,,
625182,1596749,107321,Revolving loans,,0.0,0.0,,,WEDNESDAY,11,Y,1,,,,XAP,Canceled,-97,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
683388,2473645,107321,Cash loans,,0.0,0.0,,,WEDNESDAY,10,Y,1,,,,XNA,Canceled,-97,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
742887,1596748,107321,Revolving loans,,0.0,0.0,,,WEDNESDAY,11,Y,1,,,,XAP,Canceled,-97,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1210998,2790472,107321,Revolving loans,0.0,0.0,0.0,,0.0,WEDNESDAY,11,Y,1,,,,XAP,Approved,-97,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1656058,2470785,107321,Revolving loans,2250.0,45000.0,45000.0,,45000.0,WEDNESDAY,11,Y,1,,,,XAP,Refused,-97,XNA,LIMIT,Unaccompanied,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,,,,,,
1403922,2706346,129084,Consumer loans,14403.825,121455.0,120132.0,12145.5,121455.0,TUESDAY,7,Y,1,0.0999985155174813,,,XAP,Approved,-1051,Cash through the bank,XAP,"Spouse, partner",New,Mobile,POS,XNA,Stone,149,Connectivity,12.0,high,POS mobile with interest,365243.0,-1020.0,-690.0,-690.0,-673.0,0.0
307207,1044055,129084,Cash loans,17354.79,315000.0,383193.0,,315000.0,SATURDAY,7,Y,1,,,,XNA,Refused,-851,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,middle,Cash X-Sell: middle,,,,,,
3669,2786977,129084,Revolving loans,11250.0,0.0,450000.0,,,WEDNESDAY,6,N,0,,,,XAP,Refused,-826,XNA,HC,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
26855,2699852,129084,Revolving loans,11250.0,0.0,225000.0,,,WEDNESDAY,6,Y,1,,,,XAP,Refused,-826,XNA,HC,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
208900,2460655,129084,Cash loans,,0.0,0.0,,,SATURDAY,2,Y,1,,,,XNA,Refused,-151,XNA,HC,,Repeater,XNA,XNA,XNA,Contact center,-1,XNA,,XNA,Cash,,,,,,
1402188,1440523,136983,Cash loans,24396.75,315000.0,315000.0,,315000.0,THURSDAY,14,Y,1,,,,XNA,Approved,-783,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,18.0,middle,Cash Street: middle,365243.0,-752.0,-242.0,-558.0,-549.0,0.0
2806,1627033,136983,Revolving loans,9000.0,0.0,450000.0,,,MONDAY,12,N,0,,,,XAP,Refused,-345,XNA,LIMIT,,Repeater,XNA,Cards,x-sell,Channel of corporate sales,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
60942,1764847,136983,Revolving loans,9000.0,0.0,180000.0,,,MONDAY,12,Y,1,,,,XAP,Approved,-345,XNA,XAP,,Repeater,XNA,Cards,x-sell,Channel of corporate sales,-1,XNA,0.0,XNA,Card X-Sell,-343.0,-309.0,365243.0,-278.0,365243.0,0.0
509709,2133175,136983,Revolving loans,9000.0,0.0,900000.0,,,MONDAY,12,N,0,,,,XAP,Refused,-345,XNA,LIMIT,,Repeater,XNA,Cards,x-sell,Channel of corporate sales,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
603651,1119438,136983,Revolving loans,9000.0,0.0,675000.0,,,MONDAY,12,N,0,,,,XAP,Refused,-345,XNA,LIMIT,,Repeater,XNA,Cards,x-sell,Channel of corporate sales,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
534158,1756318,136983,Cash loans,,0.0,0.0,,,SATURDAY,11,Y,1,,,,XNA,Canceled,-256,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1147491,1470944,136983,Cash loans,,0.0,0.0,,,MONDAY,16,Y,1,,,,XNA,Canceled,-107,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
824699,2572931,148658,Consumer loans,10199.475,97110.0,87399.0,9711.0,97110.0,MONDAY,18,Y,1,0.1089090909090909,,,XAP,Approved,-759,XNA,XAP,Family,New,Consumer Electronics,POS,XNA,Regional / Local,1000,Consumer electronics,10.0,middle,POS household with interest,365243.0,-725.0,-455.0,-455.0,-452.0,0.0
468,2470545,148658,Revolving loans,7875.0,0.0,157500.0,,,FRIDAY,9,N,1,,,,XAP,Refused,-419,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),4,XNA,0.0,XNA,Card X-Sell,,,,,,
783886,2799207,148658,Revolving loans,7875.0,0.0,450000.0,,,FRIDAY,9,N,0,,,,XAP,Refused,-419,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),4,XNA,0.0,XNA,Card X-Sell,,,,,,
1473230,2628241,148658,Cash loans,9934.785,67500.0,82611.0,,67500.0,FRIDAY,9,Y,1,,,,XNA,Approved,-419,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,12.0,high,Cash X-Sell: high,365243.0,-389.0,-59.0,-299.0,-291.0,1.0
706513,1755207,148658,Cash loans,,0.0,0.0,,,THURSDAY,11,Y,1,,,,XNA,Canceled,-175,XNA,XAP,,Repeater,XNA,XNA,XNA,AP+ (Cash loan),4,XNA,,XNA,Cash,,,,,,
532530,1287298,163616,Consumer loans,4417.605,30591.0,33115.5,0.0,30591.0,SATURDAY,13,Y,1,0.0,,,XAP,Approved,-2711,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,72,Connectivity,10.0,high,POS mobile with interest,365243.0,-2680.0,-2410.0,-2410.0,-2402.0,1.0
1942,2420703,163616,Revolving loans,7875.0,0.0,180000.0,,,MONDAY,16,N,0,,,,XAP,Refused,-2513,XNA,XNA,,Repeater,XNA,Cards,x-sell,Country-wide,72,Connectivity,0.0,XNA,Card Street,,,,,,
690218,2631285,163616,Revolving loans,7875.0,0.0,157500.0,,,MONDAY,16,Y,1,,,,XAP,Approved,-2513,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,72,Connectivity,0.0,XNA,Card Street,-2510.0,-2454.0,365243.0,-993.0,365243.0,0.0
1398346,1978854,163616,Consumer loans,4384.035,24255.0,22905.0,2430.0,24255.0,WEDNESDAY,15,Y,1,0.1044598740513483,,,XAP,Approved,-1307,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,50,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1269.0,-1119.0,-1119.0,-1114.0,0.0
1039165,1787074,163616,Cash loans,8513.1,202500.0,202500.0,,202500.0,WEDNESDAY,10,Y,1,,,,XNA,Approved,-1062,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),72,XNA,48.0,middle,Cash X-Sell: middle,365243.0,-1032.0,378.0,365243.0,365243.0,0.0
268721,2187378,163616,Consumer loans,7093.485,63855.0,70596.0,0.0,63855.0,SUNDAY,11,Y,1,0.0,,,XAP,Refused,-981,Cash through the bank,LIMIT,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,50,Consumer electronics,12.0,middle,POS household with interest,,,,,,
227724,1546641,185661,Consumer loans,6563.835,131521.5,140854.5,13945.5,131521.5,FRIDAY,12,Y,1,0.0981131606765327,,,XAP,Approved,-2690,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,-1,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-2659.0,-1969.0,-1999.0,-1995.0,1.0
277,2770539,185661,Revolving loans,6750.0,0.0,180000.0,,,THURSDAY,11,N,0,,,,XAP,Refused,-2621,XNA,XNA,,Repeater,XNA,Cards,x-sell,Country-wide,2024,Consumer electronics,0.0,XNA,Card Street,,,,,,
1216415,2229583,185661,Revolving loans,6750.0,0.0,135000.0,,,THURSDAY,12,Y,1,,,,XAP,Approved,-2621,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,2024,Consumer electronics,0.0,XNA,Card Street,-2620.0,-2564.0,365243.0,-1651.0,-19.0,0.0
348373,2318645,185661,Consumer loans,27447.255,258039.0,247050.0,25807.5,258039.0,THURSDAY,9,Y,1,0.1030087633155167,,,XAP,Approved,-1963,Cash through the bank,XAP,"Spouse, partner",Repeater,Construction Materials,POS,XNA,Stone,30,Construction,10.0,low_normal,POS industry with interest,365243.0,-1926.0,-1656.0,-1716.0,-1708.0,0.0
164099,2046119,185661,Consumer loans,19172.925,425592.0,425592.0,0.0,425592.0,TUESDAY,8,Y,1,0.0,,,XAP,Approved,-908,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,1200,Consumer electronics,24.0,low_action,POS household without interest,,,,,,
1495154,2235905,185661,Consumer loans,19275.075,425592.0,425592.0,0.0,425592.0,TUESDAY,10,Y,1,0.0,,,XAP,Approved,-908,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,1200,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-877.0,-187.0,-487.0,-483.0,0.0
1607655,2306609,185661,Cash loans,55472.535,1147500.0,1230808.5,,1147500.0,SATURDAY,8,Y,1,,,,XNA,Approved,-862,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30.0,low_normal,Cash X-Sell: low,365243.0,-832.0,38.0,-172.0,-168.0,1.0
131641,1340667,185661,Consumer loans,,0.0,0.0,,,TUESDAY,15,Y,1,,,,XAP,Canceled,-509,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,POS other with interest,,,,,,
355288,2256311,185661,Cash loans,45517.815,1129500.0,1344294.0,,1129500.0,TUESDAY,15,Y,1,,,,XNA,Approved,-509,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54.0,low_normal,Cash X-Sell: low,365243.0,-479.0,1111.0,365243.0,365243.0,1.0
442102,1756474,191514,Consumer loans,13718.88,121036.5,133816.5,0.0,121036.5,THURSDAY,13,Y,1,0.0,,,XAP,Approved,-964,Cash through the bank,XAP,Other_B,New,Computers,POS,XNA,Country-wide,650,Consumer electronics,12.0,middle,POS household with interest,365243.0,-932.0,-602.0,-632.0,-624.0,0.0
618572,1299376,191514,Cash loans,10641.825,112500.0,134689.5,,112500.0,SUNDAY,10,Y,1,,,,XNA,Refused,-821,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,high,Cash X-Sell: high,,,,,,
3461,2355421,191514,Revolving loans,22500.0,0.0,450000.0,,,SUNDAY,12,N,1,,,,XAP,Refused,-772,XNA,HC,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
474846,2454993,191514,Revolving loans,22500.0,0.0,450000.0,,,WEDNESDAY,13,N,1,,,,XAP,Refused,-720,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
544881,1709580,191514,Revolving loans,6750.0,135000.0,135000.0,,135000.0,SUNDAY,10,Y,1,,,,XAP,Refused,-667,XNA,HC,,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,,,,,,
581335,1530420,191514,Revolving loans,11250.0,225000.0,225000.0,,225000.0,SUNDAY,10,Y,1,,,,XAP,Refused,-667,XNA,HC,,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,,,,,,
1027203,1965357,191514,Revolving loans,22500.0,0.0,450000.0,,,SUNDAY,10,Y,1,,,,XAP,Refused,-667,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
656197,2169440,191514,Revolving loans,11250.0,225000.0,225000.0,,225000.0,SATURDAY,13,Y,1,,,,XAP,Refused,-598,XNA,HC,,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,,,,,,
1537378,1423676,191514,Consumer loans,15126.84,120591.0,150097.5,0.0,120591.0,WEDNESDAY,14,Y,1,0.0,,,XAP,Approved,-342,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,650,Consumer electronics,12.0,middle,POS household with interest,365243.0,-311.0,19.0,365243.0,365243.0,0.0
105816,1906405,191514,Revolving loans,2250.0,45000.0,45000.0,,45000.0,SATURDAY,9,Y,1,,,,XAP,Approved,-227,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,Country-wide,650,Consumer electronics,0.0,XNA,Card Street,-174.0,-149.0,365243.0,365243.0,365243.0,0.0
1188993,2165767,191514,Consumer loans,6320.115,50386.5,62712.0,0.0,50386.5,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-227,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Country-wide,650,Consumer electronics,12.0,middle,POS household with interest,365243.0,-195.0,135.0,365243.0,365243.0,0.0
695357,2149333,192781,Consumer loans,11152.98,85815.0,83605.5,8581.5,85815.0,THURSDAY,16,Y,1,0.101381253716507,,,XAP,Approved,-2567,XNA,XAP,Family,New,Mobile,POS,XNA,Stone,10,Connectivity,10.0,high,POS mobile with interest,365243.0,-2511.0,-2241.0,-2271.0,-2263.0,1.0
125051,2424924,192781,Consumer loans,4948.29,44100.0,48465.0,0.0,44100.0,MONDAY,14,Y,1,0.0,,,XAP,Approved,-2157,XNA,XAP,Family,Repeater,Furniture,POS,XNA,Stone,30,Furniture,12.0,middle,POS industry with interest,365243.0,-2119.0,-1789.0,-1789.0,-1787.0,0.0
108474,1361615,192781,Cash loans,34960.05,675000.0,732915.0,,675000.0,TUESDAY,15,Y,1,,,,Building a house or an annex,Approved,-658,Cash through the bank,XAP,"Spouse, partner",Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),100,XNA,30.0,low_normal,Cash Street: low,365243.0,-627.0,243.0,365243.0,365243.0,0.0
1363594,2400661,192781,Cash loans,28071.81,360000.0,420048.0,,360000.0,SUNDAY,10,Y,1,,,,Repairs,Refused,-576,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),100,XNA,24.0,middle,Cash Street: middle,,,,,,
1416299,2375197,192781,Cash loans,21283.29,225000.0,269374.5,,225000.0,SUNDAY,10,Y,1,,,,Repairs,Refused,-576,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),100,XNA,24.0,high,Cash Street: high,,,,,,
1078466,2089983,192781,Revolving loans,11250.0,225000.0,225000.0,0.0,225000.0,TUESDAY,8,Y,1,0.0,,,XAP,Refused,-567,XNA,HC,,Repeater,XNA,Cards,walk-in,Country-wide,20,Connectivity,0.0,XNA,Card Street,,,,,,
250545,2493554,192781,Cash loans,36575.685,765000.0,870021.0,,765000.0,THURSDAY,13,Y,1,,,,Buying a holiday home / land,Refused,-369,XNA,LIMIT,,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,48.0,middle,Cash Street: middle,,,,,,
1212981,1601480,192781,Revolving loans,38250.0,0.0,765000.0,,,THURSDAY,16,N,1,,,,XAP,Refused,-369,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),100,XNA,0.0,XNA,Card X-Sell,,,,,,
492129,2135185,192781,Revolving loans,,0.0,0.0,,,THURSDAY,16,Y,1,,,,XAP,Canceled,-368,XNA,XAP,,Repeater,XNA,XNA,XNA,AP+ (Cash loan),100,XNA,,XNA,Card Street,,,,,,
1248093,1754439,192781,Revolving loans,33750.0,0.0,675000.0,,,FRIDAY,16,N,1,,,,XAP,Refused,-368,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),100,XNA,0.0,XNA,Card X-Sell,,,,,,
1224308,2036595,192781,Revolving loans,,0.0,0.0,,,FRIDAY,16,Y,1,,,,XAP,Canceled,-367,XNA,XAP,,Repeater,XNA,XNA,XNA,AP+ (Cash loan),100,XNA,,XNA,Card Street,,,,,,
1173054,1724939,192781,Revolving loans,,0.0,0.0,,,SUNDAY,9,Y,1,,,,XAP,Canceled,-366,XNA,XAP,,Repeater,XNA,XNA,XNA,AP+ (Cash loan),100,XNA,,XNA,Card Street,,,,,,
1366107,2823675,192781,Revolving loans,33750.0,0.0,675000.0,,,SUNDAY,9,N,1,,,,XAP,Refused,-366,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),100,XNA,0.0,XNA,Card X-Sell,,,,,,
277123,1600910,192781,Revolving loans,2250.0,45000.0,45000.0,,45000.0,TUESDAY,14,Y,1,,,,XAP,Refused,-364,XNA,HC,,Repeater,XNA,Cards,walk-in,AP+ (Cash loan),100,XNA,0.0,XNA,Card Street,,,,,,
