,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
299181,2580197,100681,Revolving loans,5625.0,0.0,90000.0,,,MONDAY,9,Y,1,,,,XAP,Approved,-2668,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,1250,Consumer electronics,0.0,XNA,Card Street,-2665.0,-2601.0,365243.0,-683.0,365243.0,0.0
663135,1153679,100681,Consumer loans,8572.86,87615.0,42615.0,45000.0,87615.0,TUESDAY,11,Y,1,0.5593687257785869,,,XAP,Approved,-196,Cash through the bank,XAP,Family,Repeater,Computers,POS,XNA,Country-wide,23,Connectivity,6.0,high,POS mobile with interest,365243.0,-166.0,-16.0,-16.0,-9.0,0.0
1252702,2709014,100695,Revolving loans,4500.0,225000.0,90000.0,,225000.0,MONDAY,10,Y,1,,,,XAP,Approved,-203,XNA,XAP,"Spouse, partner",Repeater,XNA,Cards,x-sell,AP+ (Cash loan),4,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
646460,2645770,100695,Consumer loans,2368.35,19755.0,19192.5,2025.0,19755.0,THURSDAY,11,Y,1,0.1039429287573507,,,XAP,Approved,-2216,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,100,Consumer electronics,10.0,middle,POS household with interest,365243.0,-2185.0,-1915.0,-1915.0,-1912.0,0.0
1194608,2173764,100722,Consumer loans,6060.915,60615.0,54553.5,6061.5,60615.0,SATURDAY,11,Y,1,0.1089090909090909,,,XAP,Approved,-2869,XNA,XAP,,New,Consumer Electronics,POS,XNA,Stone,488,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2814.0,-2544.0,-2544.0,-2539.0,0.0
741340,2241207,100722,Revolving loans,6750.0,0.0,135000.0,,,WEDNESDAY,13,Y,1,,,,XAP,Approved,-2662,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,72,Connectivity,0.0,XNA,Card Street,-2521.0,-2478.0,365243.0,-2294.0,365243.0,0.0
771882,1866232,100727,Consumer loans,5450.49,28755.0,27157.5,2880.0,28755.0,WEDNESDAY,11,Y,1,0.104422199523323,,,XAP,Approved,-2673,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,37,Connectivity,6.0,low_normal,POS mobile with interest,365243.0,-2642.0,-2492.0,-2642.0,-2634.0,1.0
1043124,2376673,100727,Revolving loans,33750.0,0.0,900000.0,,,MONDAY,10,N,0,,,,XAP,Refused,-645,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,0,XNA,0.0,XNA,Card X-Sell,,,,,,
250834,2047760,100824,Cash loans,,0.0,0.0,,,SUNDAY,12,Y,1,,,,XNA,Canceled,-18,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
481552,2287000,100824,Consumer loans,4137.66,75429.0,91359.0,0.0,75429.0,THURSDAY,11,Y,1,0.0,,,XAP,Approved,-798,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,1700,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-767.0,-77.0,-287.0,-284.0,0.0
1062457,1727442,100830,Revolving loans,,0.0,0.0,,,THURSDAY,14,Y,1,,,,XAP,Canceled,-434,XNA,XAP,,New,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Card Street,,,,,,
722277,1089107,100830,Cash loans,56004.885,1372500.0,1470330.0,,1372500.0,THURSDAY,12,Y,1,,,,Repairs,Canceled,-447,Cash through the bank,XAP,Family,New,XNA,Cash,walk-in,Credit and cash offices,0,XNA,36.0,low_normal,Cash Street: low,,,,,,
38319,2094966,100880,Revolving loans,3375.0,0.0,67500.0,,,SUNDAY,11,Y,1,,,,XAP,Approved,-2872,XNA,XAP,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card Street,-2849.0,-2812.0,365243.0,-1747.0,-216.0,0.0
1140903,2206436,100880,Consumer loans,6336.45,49405.5,54297.0,0.0,49405.5,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-2418,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,12.0,high,POS mobile with interest,365243.0,-2387.0,-2057.0,-2087.0,-2081.0,1.0
806558,2389285,101016,Revolving loans,9000.0,0.0,180000.0,,,MONDAY,11,N,0,,,,XAP,Refused,-528,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),5,XNA,0.0,XNA,Card X-Sell,,,,,,
895950,2457862,101016,Consumer loans,15975.0,191250.0,78750.0,112500.0,191250.0,MONDAY,12,Y,1,0.6406417112299466,,,XAP,Approved,-1284,Cash through the bank,XAP,Unaccompanied,New,Vehicles,POS,XNA,Stone,25,Consumer electronics,6.0,high,POS household with interest,365243.0,-1253.0,-1103.0,-1103.0,-1096.0,0.0
382069,1879379,101067,Cash loans,87964.695,2668500.0,2953818.0,,2668500.0,THURSDAY,10,Y,1,,,,Repairs,Refused,-453,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,54.0,low_normal,Cash Street: low,,,,,,
597719,1661530,101067,Consumer loans,12448.935,124200.0,138168.0,0.0,124200.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-930,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,2929,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-899.0,-569.0,-569.0,-562.0,0.0
1109335,1972056,101121,Revolving loans,6750.0,0.0,135000.0,,,SATURDAY,10,Y,1,,,,XAP,Refused,-837,XNA,HC,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
634682,1083818,101121,Consumer loans,3605.805,28300.5,30073.5,4500.0,28300.5,MONDAY,5,Y,1,0.1417533397228829,,,XAP,Approved,-1318,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,21,Connectivity,12.0,high,POS mobile with interest,365243.0,-1121.0,-791.0,-791.0,-785.0,0.0
185315,1620258,101169,Consumer loans,11721.015,87705.0,96390.0,0.0,87705.0,WEDNESDAY,8,Y,1,0.0,,,XAP,Approved,-1821,XNA,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Regional / Local,260,Consumer electronics,12.0,high,POS household with interest,365243.0,-1790.0,-1460.0,-1460.0,-1452.0,0.0
725315,1564866,101169,Cash loans,44424.585,1215000.0,1338493.5,,1215000.0,TUESDAY,5,Y,1,,,,XNA,Approved,-919,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,42.0,low_action,Cash X-Sell: low,365243.0,-889.0,341.0,-79.0,-74.0,1.0
508472,1713628,101352,Revolving loans,4500.0,540000.0,540000.0,,540000.0,TUESDAY,7,N,0,,,,XAP,Refused,-169,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),4,XNA,0.0,XNA,Card X-Sell,,,,,,
1092151,2563560,101352,Consumer loans,7306.29,67500.0,65763.0,6750.0,67500.0,WEDNESDAY,5,Y,1,0.1013799406501404,,,XAP,Approved,-2583,XNA,XAP,"Spouse, partner",New,Consumer Electronics,POS,XNA,Country-wide,1000,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2552.0,-2282.0,-2282.0,-2271.0,1.0
820370,2782568,101370,Cash loans,,0.0,0.0,,,FRIDAY,15,Y,1,,,,XNA,Refused,-241,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1288492,1427190,101370,Revolving loans,22500.0,0.0,765000.0,,,WEDNESDAY,10,N,0,,,,XAP,Refused,-579,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
856157,1445739,101457,Cash loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-38,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1510965,1057258,101457,Cash loans,40181.22,454500.0,575910.0,,454500.0,SUNDAY,11,Y,1,,,,XNA,Approved,-581,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,high,Cash X-Sell: high,365243.0,-551.0,139.0,365243.0,365243.0,1.0
374259,1407735,101476,Cash loans,18071.145,135000.0,163732.5,,135000.0,SUNDAY,16,Y,1,,,,XNA,Refused,-896,XNA,HC,"Spouse, partner",Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high,,,,,,
408417,1398137,101476,Consumer loans,9197.145,177997.5,177997.5,0.0,177997.5,SUNDAY,16,Y,1,0.0,,,XAP,Approved,-693,XNA,XAP,,Refreshed,Computers,POS,XNA,Country-wide,1100,Consumer electronics,24.0,low_normal,POS household with interest,365243.0,-650.0,40.0,-200.0,-189.0,0.0
907870,2661217,101556,Revolving loans,3375.0,0.0,67500.0,,,WEDNESDAY,13,Y,1,,,,XAP,Approved,-2840,XNA,XAP,,Repeater,XNA,Cards,x-sell,Stone,2008,Consumer electronics,0.0,XNA,Card Street,-2764.0,-2709.0,365243.0,-1095.0,365243.0,0.0
308618,1578860,101556,Cash loans,,0.0,0.0,,,THURSDAY,12,Y,1,,,,XNA,Canceled,-312,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
762769,1570395,101612,Cash loans,25464.69,315000.0,340573.5,,315000.0,SUNDAY,9,Y,1,,,,XNA,Approved,-546,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),5,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-516.0,-6.0,365243.0,365243.0,1.0
104593,1004916,101612,Consumer loans,4182.075,42750.0,37584.0,8550.0,42750.0,TUESDAY,15,Y,1,0.2018408824885609,,,XAP,Approved,-1860,Cash through the bank,XAP,Unaccompanied,New,Furniture,POS,XNA,Stone,789,Furniture,12.0,middle,POS industry with interest,365243.0,-1829.0,-1499.0,-1649.0,-1645.0,0.0
1512656,2562545,101649,Consumer loans,8076.915,40945.5,28350.0,13500.0,40945.5,WEDNESDAY,9,Y,1,0.3513196480938415,,,XAP,Approved,-2633,XNA,XAP,Family,Repeater,Mobile,POS,XNA,Stone,12,Connectivity,4.0,low_normal,POS mobile with interest,365243.0,-2602.0,-2512.0,-2512.0,-2503.0,1.0
916406,2017241,101649,Consumer loans,31688.595,157500.0,165816.0,0.0,157500.0,THURSDAY,12,Y,1,0.0,,,XAP,Approved,-294,Cash through the bank,XAP,"Spouse, partner",Repeater,Auto Accessories,POS,XNA,Stone,170,Industry,6.0,middle,POS industry with interest,365243.0,-264.0,-114.0,-174.0,-172.0,1.0
600848,1392236,101696,Cash loans,22414.05,450000.0,533160.0,,450000.0,WEDNESDAY,14,Y,1,,,,Repairs,Refused,-372,XNA,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,48.0,middle,Cash Street: middle,,,,,,
1451614,1784358,101696,Revolving loans,22500.0,0.0,450000.0,,,MONDAY,15,N,1,,,,XAP,Refused,-388,XNA,HC,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),5,XNA,0.0,XNA,Card X-Sell,,,,,,
83083,2389476,101706,Consumer loans,6424.965,38925.0,35032.5,3892.5,38925.0,THURSDAY,9,Y,1,0.1089090909090909,,,XAP,Refused,-1149,Cash through the bank,LIMIT,Family,Repeater,Audio/Video,POS,XNA,Stone,180,Consumer electronics,6.0,middle,POS household with interest,,,,,,
1160503,2131986,101706,Consumer loans,4682.835,26397.0,26397.0,0.0,26397.0,THURSDAY,10,Y,1,0.0,,,XAP,Refused,-1506,Cash through the bank,SCO,Family,Repeater,Construction Materials,POS,XNA,Stone,180,Consumer electronics,6.0,low_normal,POS household without interest,,,,,,
1027155,1263275,101830,Consumer loans,4780.08,38209.5,37408.5,3825.0,38209.5,FRIDAY,16,Y,1,0.1010288412885815,,,XAP,Approved,-669,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Country-wide,55,Connectivity,10.0,high,POS mobile with interest,365243.0,-638.0,-368.0,-368.0,-366.0,0.0
1280631,1368100,101830,Consumer loans,2866.68,20205.0,14170.5,6705.0,20205.0,WEDNESDAY,18,Y,1,0.3498050128358384,,,XAP,Approved,-1945,XNA,XAP,,New,Mobile,POS,XNA,Country-wide,53,Connectivity,6.0,high,POS mobile with interest,365243.0,-1899.0,-1749.0,-1749.0,-1745.0,0.0
1484593,2586636,101962,Consumer loans,4724.055,28345.5,26644.5,1701.0,28345.5,FRIDAY,6,Y,1,0.0653558284864841,,,XAP,Refused,-2574,Cash through the bank,SCO,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,664,Consumer electronics,6.0,low_normal,POS household without interest,,,,,,
767753,1197121,101962,Revolving loans,6750.0,0.0,180000.0,,,FRIDAY,11,N,0,,,,XAP,Refused,-2875,XNA,SYSTEM,,Repeater,XNA,Cards,x-sell,Country-wide,664,Consumer electronics,0.0,XNA,Card Street,,,,,,
880563,2101084,102028,Consumer loans,4177.215,18342.0,15187.5,3672.0,18342.0,THURSDAY,10,Y,1,0.2120491963297976,,,XAP,Approved,-1264,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,34,Connectivity,4.0,middle,POS mobile without interest,365243.0,-1233.0,-1143.0,-1143.0,-1135.0,0.0
1375525,2339971,102028,Consumer loans,3636.495,17730.0,13500.0,4230.0,17730.0,TUESDAY,14,Y,1,0.2598338717120443,,,XAP,Approved,-237,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,34,Connectivity,4.0,middle,POS mobile with interest,365243.0,-177.0,-87.0,-117.0,-113.0,0.0
1573643,2779442,102043,Cash loans,25969.635,495000.0,573408.0,,495000.0,FRIDAY,6,Y,1,,,,XNA,Refused,-416,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,middle,Cash X-Sell: middle,,,,,,
3355,1038913,102043,Consumer loans,11451.33,90436.5,88155.0,9000.0,90436.5,THURSDAY,11,Y,1,0.1008884584614088,,,XAP,Approved,-2041,Cash through the bank,XAP,Children,New,Audio/Video,POS,XNA,Country-wide,1450,Consumer electronics,10.0,high,POS household with interest,365243.0,-2010.0,-1740.0,-1740.0,-1737.0,0.0
823266,1952861,102083,Cash loans,,0.0,0.0,,,TUESDAY,13,Y,1,,,,XNA,Canceled,-247,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1630017,1806044,102083,Consumer loans,8894.115,87390.0,86958.0,8739.0,87390.0,SUNDAY,10,Y,1,0.099455212332105,,,XAP,Approved,-326,Cash through the bank,XAP,,Refreshed,Vehicles,POS,XNA,Stone,10,Auto technology,12.0,middle,POS other with interest,365243.0,-294.0,36.0,-234.0,-228.0,0.0
1021210,1737470,102192,Revolving loans,4500.0,0.0,112500.0,,,TUESDAY,13,N,0,,,,XAP,Refused,-2375,XNA,XNA,,Repeater,XNA,Cards,x-sell,Credit and cash offices,0,XNA,0.0,XNA,Card Street,,,,,,
1572798,1498898,102192,Revolving loans,4500.0,0.0,90000.0,,,TUESDAY,13,Y,1,,,,XAP,Approved,-2375,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,0,XNA,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
840985,1356450,102253,Consumer loans,8289.135,80955.0,80955.0,0.0,80955.0,SATURDAY,11,Y,1,0.0,,,XAP,Approved,-84,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Regional / Local,300,Consumer electronics,12.0,middle,POS household with interest,365243.0,-54.0,276.0,-24.0,-20.0,0.0
902829,2093455,102253,Revolving loans,22500.0,0.0,900000.0,,,WEDNESDAY,11,N,0,,,,XAP,Refused,-668,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1145905,1752828,102254,Revolving loans,22500.0,0.0,450000.0,,,TUESDAY,9,Y,1,,,,XAP,Approved,-707,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,-188.0,0.0
144117,1544279,102254,Cash loans,13812.075,135000.0,170635.5,,135000.0,TUESDAY,8,Y,1,,,,XNA,Approved,-707,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-677.0,-167.0,-317.0,-310.0,1.0
723580,1379858,102336,Cash loans,19538.19,405000.0,461133.0,,405000.0,FRIDAY,13,Y,1,,,,XNA,Refused,-141,Cash through the bank,SCO,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,,,,,,
87201,1166617,102336,Consumer loans,41921.64,246600.0,219600.0,27000.0,246600.0,WEDNESDAY,11,Y,1,0.1192435301924352,,,XAP,Refused,-661,Cash through the bank,HC,Unaccompanied,Repeater,Auto Accessories,POS,XNA,Regional / Local,50,Industry,6.0,middle,POS other with interest,,,,,,
661053,2610703,102367,Consumer loans,6442.11,34605.0,31594.5,4500.0,34605.0,FRIDAY,13,Y,1,0.1357799412904761,,,XAP,Approved,-1746,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,6.0,high,POS mobile with interest,365243.0,-1709.0,-1559.0,-1559.0,-1541.0,0.0
1666428,1207737,102367,Revolving loans,6750.0,0.0,67500.0,,,FRIDAY,10,Y,1,,,,XAP,Approved,-2558,XNA,XAP,,Repeater,XNA,Cards,x-sell,Stone,149,Consumer electronics,0.0,XNA,Card Street,-2544.0,-2497.0,365243.0,-1159.0,365243.0,0.0
